""							CARDÁPIO DE REFEIÇÃO SEMANAL						
""		Segunda-feira 03/09		Terça-feira 04/09		Quarta-feira 05/09	Quinta-feira 06/09		Sexta-feira 07/09		Sábado 08/09		Domingo 09/09
DESJEJUM		FGA, FCE e FUP		FGA, FCE e FUP		FGA, FCE e FUP	FGA, FCE e FUP		FUP		FUP		FUP
Bebidas quentes	Café e leite		Café e leite		Café e leite		Café e leite	Café e leite		Café e leite		Café e leite	
Vegetariano	Leite de soja		Leite de soja		Leite de soja		Leite de soja	Leite de soja		Leite de soja		Leite de soja	
Achocolatado	Achocolatado sem lactose		Achocolatado sem lactose		Achocolatado sem lactose		Achocolatado sem lactose	Achocolatado sem lactose		Achocolatado sem lactose		Achocolatado sem lactose	
Pão	Pão francês		Pão francês		Pão francês	/ Bolo de banana	Pão francês	Pão francês		Pão careca /Bolo simples		Pão francês	
Vegetariano	Pão francês		Pão francês		Pão francês		Pão francês	Pão francês		Pão francês		Pão francês	
Complemento	Margarina		Margarina		Margarina		Margarina	Margarina		Margarina		Margarina	
Vegetariano	Creme vegetal		Creme vegetal		Creme vegetal		Creme vegetal	Creme vegetal		Creme vegetal		Creme vegetal	
Complemento	Mingau de aveia		Carne desfiada		Queijo minas		Presunto e queijo	Ovos mexidos		Iogurte		Queijo mussarela	
Comp. Vegetariano	Mingau de aveia de soja		Patê funcional		Pasta de casca de beterraba		Geléia	Pasta de amendoim		Vitamina com leite de soja		Patê de ervilha com  mostarda	
Fruta	Melão		Mamão		Abacaxi		Maça	Melancia		Banana		Trinca de fruta	
ALMOÇO		FGA, FCE e FUP		FGA, FCE e FUP		FGA, FCE e FUP	FGA, FCE e FUP		FUP		FUP		FUP
Salada:	Alface lisa e pepino		Mix de folhas e abóbora ralada		Alface crespa e nabo		Alface roxa e tomate	Alface lisa e rabanete		Alface crespa e salpicão		Mix de folhas e cenoura ralada	
Molho:	Molho de vinagrete		Molho argentino		Molho de limão		Molho de alho	Molho vinagrete		Molho de ervas		Molho de maracujá e mel	
Prato Principal:	Isca de carne acebolada		Carré assado ao molho agridoce		Strogonoff de frango		Frango assado com ervas	Lasanha de carne com ricota		Pernil ao molho de laranja		Almondegas ao  sugo	
Guarnição:	Chuchu ao molho branco		Milho cozido		Batata assada		Beterraba cozida	Cenoura cozida com cheiro verde		Abóbora cozida com alecrim		Polenta	
Prato Vegetariano:	Farofa de soja		Curry de lentilha com leite de coco		Yakissoba vegetariano		Mix vegetariano	Soja ao creme de leite de coco		Refogado de espinafre		Almondegas de soja ao sugo	
Acompanhamentos:	Arroz branco, Arroz integral e Feijão preto		Arroz com passas, Arroz integral e Feijão		Arroz branco, Arroz integral e Feijão		Arroz branco, Arroz integral e Feijão	Arroz branco, Arroz integral e Feijão preto		Arroz branco, Arroz integral e Feijão		Arroz branco, Arroz integral e Feijão	
Sobremesa:	Maçã		Banana		Laranja		Mamão	Laranja		Maçã		Doce de casca de mamão com coco e cravo	
Refresco:	Morango		Guaraná		Uva		Goiaba	Limão		Tangerina		Manga	
JANTAR		FGA, FCE e FUP		FGA, FCE e FUP		FGA, FCE e FUP	FGA, FCE e FUP		FUP		FUP		FUP
Salada:	Hakusai	e tomate	Alface roxa e rabanete		Agrião e tabule		Mix de folhas e salada mista	Repolho e sunomono		Agrião e tomate		Alface crespa e beterraba cozida	
Molho:	Molho de salsa		Molho de soja com orégano		Molho agridoce		Molho oriental	Molho de hortelã		Molho argentino		Molho oriental	
Sopa:	Creme de cenoura		Consomé de legumes		Sopa rica		Sopa a juliana	Creme de milho		Creme de batata doce		Caldo verde	
Pão:	Torrada		Torrada		Torrada		Torrada	Torrada		Torrada		Torrada	
Prato Principal:	Filé de frango ao molho vermelho		Lagarto ao molho ferrugem		Linguiça acebolada		Bife de panela	Frango a parisiense		Carne ao molho vermelho com manjericão		Escondidinho de peixe	
Prato Vegetariano:	Lasanha de abobrinha		Berinjela recheado com ervilha e quinoa		Croquete de soja		Hambúrguer de abóbora	Dahl de ervilha		Tropeiro vegetariano		Quibe de legumes com quinoa	
Acompanhamentos:	Arroz branco, Arroz integral e Feijão preto		Arroz branco, Arroz integral e Feijão		Arroz branco, Arroz integral e Feijão		Arroz branco, Arroz integral e Feijão	Arroz branco, Arroz integral e Feijão preto		Arroz branco, Arroz integral e Feijão		Arroz branco, Arroz integral e Feijão	
Sobremesa:	Laranja		Melancia		Melão		Doce de banana	Melão		Laranja		Abacaxi	
Refresco:	Acerola		Manga		Maracujá		Acerola	Uva		Caju		Guaraná	
Legenda:													
""	PIMENTA	GLÚTEN	PORCO										
""				OLEAGINOSAS	SOJA	COGUMELO	LEITE OVOS MEL						
